"contract_id","name","avg_price","volume"
"ethereum:c36442b4a4522e871399cd717abdd847ab11fe88","Uniswap V3 Positions NFT-V1",4065.77,764603
"ethereum:34d85c9cdeb23fa97cb08333b511ac86e1c4e258","Otherdeed",19.46,161014
"ethereum:7bd29408f11d2bfc23c34f18275bbf23bb716bc7","Meebits",988.15,130694
"ethereum:b47e3cd837ddf8e4c57f05d70ab865de6e193bbb","CryptoPunks",8994.44,125922
"ethereum:4e1f41613c9084fdb9e34e11fae9412427480e56","Terraforms",1233.5,118774
"ethereum:60e4d786628fea6478f785a6d7e704777c86a7c6","MutantApeYachtClub",38.91,69548
"ethereum:23581767a106ae21c074b2276d25e5c3e136a68b","Moonbirds",109.07,57900
"ethereum:ed5af388653567af2f388e6224dc7c4b3241c544","Azuki",49.29,27513
"ethereum:06799a1e4792001aa9114f0012b9650ca28059a3","Unidentified contract - qZSVpmUhF7",0.0,27289
"ethereum:160c404b2b49cbc3240055ceaee026df1e8497a0","projectPXN",5.03,25203
"ethereum:bc4ca0eda7647a8ab7c2061c2e118a18a936f13d","BoredApeYachtClub",136.19,24349
"ethereum:81ae0be3a8044772d04f32398bac1e1b4b215aa8","Dreadfulz",397.86,21380
"ethereum:bb9bc244d798123fde783fcc1c72d3bb8c189413","",398.92,15558
"ethereum:49cf6f5d44e70224e2e23fdcdd2c053f30ada28b","CloneX",33.16,15480
"ethereum:306b1ea3ecdf94ab739f1910bbda052ed4a9f949","Beanz",8.52,15414
"ethereum:1dfe7ca09e99d10835bf73044a23b73fc20623df","More Loot",1037.57,14541
"ethereum:a5d37c0364b9e6d96ee37e03964e7ad2b33a93f4","CATGIRL ACADEMIA",627.11,12302
"ethereum:8a90cab2b38dba80c64b7734e58ee1db38b8992e","Doodles",61.97,9146
"ethereum:ce25e60a89f200b1fa40f6c313047ffe386992c3","dotdotdot",451.72,8860
"ethereum:7eaa96d48380802a75ed6d74b91e2b30c3d474c1","CPG Pop",3.35,8031
"ethereum:acd6ab55f6fba36293a9a920ffcb2f0f3d34967a","Bound NFT DOODLE",1872.21,7399
