Collections,std_deviations
Nouns,0.12461285741343889
MutantApeYachtClub,0.13161702749680618
PROOF Collective,0.1474337365463705
CPG Pop,0.21331030718987073
BoredApeYachtClub,0.22192113296460997
CloneX,0.22390113610127238
Cool Cats,0.2414151762897039
Doodles,0.24348940953217615
Moonbirds Oddities,0.28140326841941016
Azuki,0.2896020885233001
Dooplicator,0.2932460723221204
VeeFriends Series 2,0.34706672254486604
projectPXN,0.3477173241056754
The Art of Seasons,0.3480236099488038
mfer,0.3648705922867553
DEGEN TOONZ,0.3668124644636412
Boki,0.389853366727302
Invisible Friends,0.4398364305438862
mean,0.46138495496021453
BoredApeKennelClub,0.46569816933890057
Sandbox's LANDs,0.5057528378087899
Akumu Dragonz,0.5238880460111264
Otherdeed,0.5341718196791374
Karafuru Gachapon,0.6487744264215219
AIMoonbirds,0.72261441593031
3Landers,0.744715582009174
Moonbirds,0.7563519139435598
goblintown,0.7873034092637721
BBRC OFFICIAL - IVY BOYS,0.7908291692734186
Opium Network Position Token,0.8544743988483808
Genesis,0.918634202715804
mcgoblintownwtf,0.9456037586734313
